product_id,product_name,category,sub_category,price
1,Gaming Chair,Furniture,Chairs,515.94
2,Ergonomic Office Chair,Furniture,Chairs,106.33
3,Wireless Desk Phone,Technology,Phones,992.83
4,Glass Coffee Table,Furniture,Tables,668.38
5,Ergonomic Keyboard,Technology,Accessories,477.31
6,Ergonomic Keyboard,Technology,Accessories,698.17
7,Wireless Desk Phone,Technology,Phones,807.63
8,Claude Monet Poster,Office Supplies,Art,542.56
9,Business VoIP Phone,Technology,Phones,752.61
10,Ergonomic Office Chair,Furniture,Chairs,289.21
11,Business VoIP Phone,Technology,Phones,294.57
12,Watercolor Paint Kit,Office Supplies,Art,699.06
13,USB-C Hub,Technology,Accessories,577.67
14,Cardstock,Office Supplies,Paper,514.87
15,All-in-One Desktop,Technology,Computers,375.27
16,All-in-One Desktop,Technology,Computers,847.76
17,Tablet Pro,Technology,Computers,980.62
18,USB-C Hub,Technology,Accessories,555.23
19,Cube Organizer,Furniture,Bookcases,374.01
20,Sticky Notes,Office Supplies,Paper,211.78
21,Gaming PC,Technology,Computers,916.53
22,Ergonomic Keyboard,Technology,Accessories,452.83
23,3-Ring Binder,Office Supplies,Binders,507.28
24,Ladder Bookshelf,Furniture,Bookcases,493.35
25,Wireless Mouse,Technology,Accessories,138.65
26,USB-C Hub,Technology,Accessories,413.76
27,Watercolor Paint Kit,Office Supplies,Art,588.18
28,USB-C Hub,Technology,Accessories,347.37
29,Leather Executive Chair,Furniture,Chairs,274.63
30,Legal Pads,Office Supplies,Paper,512.35
31,Ergonomic Keyboard,Technology,Accessories,773.98
32,Laptop Cooling Pad,Technology,Accessories,364.1
33,Claude Monet Poster,Office Supplies,Art,887.42
34,Wireless Desk Phone,Technology,Phones,827.56
35,Wireless Desk Phone,Technology,Phones,229.75
36,Leather Executive Chair,Furniture,Chairs,33.66
37,Wireless Mouse,Technology,Accessories,900.95
38,All-in-One Desktop,Technology,Computers,987.7
39,Leather Executive Chair,Furniture,Chairs,16.38
40,Rugged Flip Phone,Technology,Phones,86.05
41,Leather Executive Chair,Furniture,Chairs,15.21
42,Business VoIP Phone,Technology,Phones,633.32
43,Recycled Printer Paper,Office Supplies,Paper,409.42
44,Business VoIP Phone,Technology,Phones,472.42
45,Wireless Mouse,Technology,Accessories,49.74
46,Gaming Chair,Furniture,Chairs,313.18
47,Cardstock,Office Supplies,Paper,648.29
48,Sticky Notes,Office Supplies,Paper,405.66
49,Recycled Printer Paper,Office Supplies,Paper,550.23
50,Laptop Cooling Pad,Technology,Accessories,587.17
