product_id,product_name,category,sub_category
1,"Gaming Chair",Furniture,Chairs
2,"Ergonomic Office Chair",Furniture,Chairs
3,"Wireless Desk Phone",Technology,Phones
4,"Glass Coffee Table",Furniture,Tables
5,"Ergonomic Keyboard",Technology,Accessories
6,"Ergonomic Keyboard",Technology,Accessories
7,"Wireless Desk Phone",Technology,Phones
8,"Claude Monet Poster","Office Supplies",Art
9,"Business VoIP Phone",Technology,Phones
10,"Ergonomic Office Chair",Furniture,Chairs
11,"Business VoIP Phone",Technology,Phones
12,"Watercolor Paint Kit","Office Supplies",Art
13,"USB-C Hub",Technology,Accessories
14,Cardstock,"Office Supplies",Paper
15,"All-in-One Desktop",Technology,Computers
16,"All-in-One Desktop",Technology,Computers
17,"Tablet Pro",Technology,Computers
18,"USB-C Hub",Technology,Accessories
19,"Cube Organizer",Furniture,Bookcases
20,"Sticky Notes","Office Supplies",Paper
21,"Gaming PC",Technology,Computers
22,"Ergonomic Keyboard",Technology,Accessories
23,"3-Ring Binder","Office Supplies",Binders
24,"Ladder Bookshelf",Furniture,Bookcases
25,"Wireless Mouse",Technology,Accessories
26,"USB-C Hub",Technology,Accessories
27,"Watercolor Paint Kit","Office Supplies",Art
28,"USB-C Hub",Technology,Accessories
29,"Leather Executive Chair",Furniture,Chairs
30,"Legal Pads","Office Supplies",Paper
31,"Ergonomic Keyboard",Technology,Accessories
32,"Laptop Cooling Pad",Technology,Accessories
33,"Claude Monet Poster","Office Supplies",Art
34,"Wireless Desk Phone",Technology,Phones
35,"Wireless Desk Phone",Technology,Phones
36,"Leather Executive Chair",Furniture,Chairs
37,"Wireless Mouse",Technology,Accessories
38,"All-in-One Desktop",Technology,Computers
39,"Leather Executive Chair",Furniture,Chairs
40,"Rugged Flip Phone",Technology,Phones
41,"Leather Executive Chair",Furniture,Chairs
42,"Business VoIP Phone",Technology,Phones
43,"Recycled Printer Paper","Office Supplies",Paper
44,"Business VoIP Phone",Technology,Phones
45,"Wireless Mouse",Technology,Accessories
46,"Gaming Chair",Furniture,Chairs
47,Cardstock,"Office Supplies",Paper
48,"Sticky Notes","Office Supplies",Paper
49,"Recycled Printer Paper","Office Supplies",Paper
50,"Laptop Cooling Pad",Technology,Accessories
51,"Presentation Folder","Office Supplies",Binders
52,"Colored Pencil Set","Office Supplies",Art
53,"Mesh Task Chair",Furniture,Chairs
54,"Gaming Chair",Furniture,Chairs
55,"Glass Coffee Table",Furniture,Tables
56,"Ergonomic Keyboard",Technology,Accessories
57,"Watercolor Paint Kit","Office Supplies",Art
58,"Cube Organizer",Furniture,Bookcases
59,"Mesh Task Chair",Furniture,Chairs
60,"Sketch Pad","Office Supplies",Art
61,"Leather Executive Chair",Furniture,Chairs
62,"Leather Executive Chair",Furniture,Chairs
63,"Sketch Pad","Office Supplies",Art
64,"Legal Pads","Office Supplies",Paper
65,"Folding Card Table",Furniture,Tables
66,"Standing Desk",Furniture,Tables
67,"Pro Laptop 15""",Technology,Computers
68,"USB-C Hub",Technology,Accessories
69,"3-Ring Binder","Office Supplies",Binders
70,"Standing Desk",Furniture,Tables
71,"USB-C Hub",Technology,Accessories
72,"5-Shelf Bookcase",Furniture,Bookcases
73,"Mesh Task Chair",Furniture,Chairs
74,"Legal Pads","Office Supplies",Paper
75,"Folding Card Table",Furniture,Tables
76,"Wireless Desk Phone",Technology,Phones
77,"Gaming Chair",Furniture,Chairs
78,"Ergonomic Keyboard",Technology,Accessories
79,"Leather Executive Chair",Furniture,Chairs
80,"Mesh Task Chair",Furniture,Chairs
81,"Smartphone X12",Technology,Phones
82,"Legal Pads","Office Supplies",Paper
83,"USB-C Hub",Technology,Accessories
84,"Laptop Cooling Pad",Technology,Accessories
85,"Gaming PC",Technology,Computers
86,"Glass Coffee Table",Furniture,Tables
87,Cardstock,"Office Supplies",Paper
88,"Presentation Folder","Office Supplies",Binders
89,"Watercolor Paint Kit","Office Supplies",Art
90,"All-in-One Desktop",Technology,Computers
91,"USB-C Hub",Technology,Accessories
92,"All-in-One Desktop",Technology,Computers
93,"Standing Desk",Furniture,Tables
94,"Wireless Mouse",Technology,Accessories
95,"Pro Laptop 15""",Technology,Computers
96,"Gaming PC",Technology,Computers
97,"Wireless Mouse",Technology,Accessories
98,"USB-C Hub",Technology,Accessories
99,"Cube Organizer",Furniture,Bookcases
100,"Ladder Bookshelf",Furniture,Bookcases
101,Cardstock,"Office Supplies",Paper
102,"Gaming Chair",Furniture,Chairs
103,"Standing Desk",Furniture,Tables
104,"Laptop Cooling Pad",Technology,Accessories
105,"Claude Monet Poster","Office Supplies",Art
106,"Tablet Pro",Technology,Computers
107,"All-in-One Desktop",Technology,Computers
108,"Leather Executive Chair",Furniture,Chairs
109,"USB-C Hub",Technology,Accessories
110,"Business VoIP Phone",Technology,Phones
111,"Ladder Bookshelf",Furniture,Bookcases
112,"Leather Executive Chair",Furniture,Chairs
113,"Folding Card Table",Furniture,Tables
114,"Sticky Notes","Office Supplies",Paper
115,"Wireless Desk Phone",Technology,Phones
116,"All-in-One Desktop",Technology,Computers
117,"3-Ring Binder","Office Supplies",Binders
118,"Oak Dining Table",Furniture,Tables
119,"Watercolor Paint Kit","Office Supplies",Art
120,"Wireless Desk Phone",Technology,Phones
121,"Sketch Pad","Office Supplies",Art
122,"Glass Coffee Table",Furniture,Tables
123,"Laptop Cooling Pad",Technology,Accessories
124,"Standing Desk",Furniture,Tables
125,"Rugged Flip Phone",Technology,Phones
126,"Colored Pencil Set","Office Supplies",Art
127,"Ergonomic Keyboard",Technology,Accessories
128,Cardstock,"Office Supplies",Paper
129,"Legal Pads","Office Supplies",Paper
130,"Document Organizer","Office Supplies",Binders
131,"Colored Pencil Set","Office Supplies",Art
132,"Rugged Flip Phone",Technology,Phones
133,"Watercolor Paint Kit","Office Supplies",Art
134,"Recycled Printer Paper","Office Supplies",Paper
135,"All-in-One Desktop",Technology,Computers
136,"Presentation Folder","Office Supplies",Binders
137,"Recycled Printer Paper","Office Supplies",Paper
138,"Oak Dining Table",Furniture,Tables
139,"Standing Desk",Furniture,Tables
140,"USB-C Hub",Technology,Accessories
141,"Sketch Pad","Office Supplies",Art
142,"Oak Dining Table",Furniture,Tables
143,"Document Organizer","Office Supplies",Binders
144,"Standing Desk",Furniture,Tables
145,Cardstock,"Office Supplies",Paper
146,"Wireless Mouse",Technology,Accessories
147,"Rugged Flip Phone",Technology,Phones
148,"Legal Pads","Office Supplies",Paper
149,"Sticky Notes","Office Supplies",Paper
150,"Rugged Flip Phone",Technology,Phones
151,"Gaming Chair",Furniture,Chairs
152,"Laptop Cooling Pad",Technology,Accessories
153,"Legal Pads","Office Supplies",Paper
154,"Smartphone X12",Technology,Phones
155,"Rugged Flip Phone",Technology,Phones
156,"3-Ring Binder","Office Supplies",Binders
157,"Business VoIP Phone",Technology,Phones
158,"Wireless Desk Phone",Technology,Phones
159,"Colored Pencil Set","Office Supplies",Art
160,"USB-C Hub",Technology,Accessories
161,"Claude Monet Poster","Office Supplies",Art
162,"Presentation Folder","Office Supplies",Binders
163,"Recycled Printer Paper","Office Supplies",Paper
164,"Legal Pads","Office Supplies",Paper
165,"3-Ring Binder","Office Supplies",Binders
166,"Wireless Mouse",Technology,Accessories
167,"Mesh Task Chair",Furniture,Chairs
168,"Document Organizer","Office Supplies",Binders
169,"5-Shelf Bookcase",Furniture,Bookcases
170,"Mesh Task Chair",Furniture,Chairs
171,"Document Organizer","Office Supplies",Binders
172,"Folding Card Table",Furniture,Tables
173,"Ladder Bookshelf",Furniture,Bookcases
174,"3-Ring Binder","Office Supplies",Binders
175,"Sketch Pad","Office Supplies",Art
176,"Laptop Cooling Pad",Technology,Accessories
177,"Floating Wall Shelves",Furniture,Bookcases
178,"Ergonomic Office Chair",Furniture,Chairs
179,"Smartphone X12",Technology,Phones
180,"Pro Laptop 15""",Technology,Computers
181,"Floating Wall Shelves",Furniture,Bookcases
182,"Glass Coffee Table",Furniture,Tables
183,"Legal Pads","Office Supplies",Paper
184,"Smartphone X12",Technology,Phones
185,"Legal Pads","Office Supplies",Paper
186,"All-in-One Desktop",Technology,Computers
187,"Watercolor Paint Kit","Office Supplies",Art
188,"Folding Card Table",Furniture,Tables
189,"5-Shelf Bookcase",Furniture,Bookcases
190,"Cube Organizer",Furniture,Bookcases
191,"Legal Pads","Office Supplies",Paper
192,"Gaming PC",Technology,Computers
193,"Floating Wall Shelves",Furniture,Bookcases
194,"3-Ring Binder","Office Supplies",Binders
195,"Business VoIP Phone",Technology,Phones
196,"Ergonomic Office Chair",Furniture,Chairs
197,"Sheet Protectors","Office Supplies",Binders
198,"Wireless Mouse",Technology,Accessories
199,"Watercolor Paint Kit","Office Supplies",Art
200,"Laptop Cooling Pad",Technology,Accessories
201,"Pro Laptop 15""",Technology,Computers
202,"Wireless Desk Phone",Technology,Phones
203,"Watercolor Paint Kit","Office Supplies",Art
204,"Recycled Printer Paper","Office Supplies",Paper
205,"Tablet Pro",Technology,Computers
206,"Claude Monet Poster","Office Supplies",Art
207,"Standing Desk",Furniture,Tables
208,"Rugged Flip Phone",Technology,Phones
209,"Floating Wall Shelves",Furniture,Bookcases
210,"Sketch Pad","Office Supplies",Art
211,"Colored Pencil Set","Office Supplies",Art
212,"Standing Desk",Furniture,Tables
213,"Presentation Folder","Office Supplies",Binders
214,"USB-C Hub",Technology,Accessories
215,"Gaming PC",Technology,Computers
216,"Wireless Mouse",Technology,Accessories
217,"Watercolor Paint Kit","Office Supplies",Art
218,"Recycled Printer Paper","Office Supplies",Paper
219,"Mesh Task Chair",Furniture,Chairs
220,"Smartphone X12",Technology,Phones
221,"Wireless Mouse",Technology,Accessories
222,"Smartphone X12",Technology,Phones
223,"Tablet Pro",Technology,Computers
224,"Document Organizer","Office Supplies",Binders
225,"Sheet Protectors","Office Supplies",Binders
226,"Mesh Task Chair",Furniture,Chairs
227,"5-Shelf Bookcase",Furniture,Bookcases
228,"Sheet Protectors","Office Supplies",Binders
229,"Leather Executive Chair",Furniture,Chairs
230,"Sketch Pad","Office Supplies",Art
231,"Watercolor Paint Kit","Office Supplies",Art
232,"Glass Coffee Table",Furniture,Tables
233,"Oak Dining Table",Furniture,Tables
234,"Tablet Pro",Technology,Computers
235,"Wireless Desk Phone",Technology,Phones
236,"Sketch Pad","Office Supplies",Art
237,"Pro Laptop 15""",Technology,Computers
238,"Leather Executive Chair",Furniture,Chairs
239,"Sheet Protectors","Office Supplies",Binders
240,"Mesh Task Chair",Furniture,Chairs
241,"Colored Pencil Set","Office Supplies",Art
242,"5-Shelf Bookcase",Furniture,Bookcases
243,"Ergonomic Keyboard",Technology,Accessories
244,"Gaming PC",Technology,Computers
245,"Sketch Pad","Office Supplies",Art
246,"Cube Organizer",Furniture,Bookcases
247,"Ergonomic Keyboard",Technology,Accessories
248,"Rugged Flip Phone",Technology,Phones
249,"Laptop Cooling Pad",Technology,Accessories
250,"Laptop Cooling Pad",Technology,Accessories
251,"3-Ring Binder","Office Supplies",Binders
252,"Standing Desk",Furniture,Tables
253,"3-Ring Binder","Office Supplies",Binders
254,"Sticky Notes","Office Supplies",Paper
255,"Oak Dining Table",Furniture,Tables
256,"Laptop Cooling Pad",Technology,Accessories
257,"Colored Pencil Set","Office Supplies",Art
258,"Claude Monet Poster","Office Supplies",Art
259,"Cube Organizer",Furniture,Bookcases
260,"Wireless Desk Phone",Technology,Phones
261,"Legal Pads","Office Supplies",Paper
